Ep ep_000695.24 | Time 0:32.43 | Steps  1569 | Reward   89298.5 | Avg(10)   81590.4 | Dist    341m ( 10.6%) | Buf   3.8% | Total   18876 | End: off_track
Ep ep_000696.24 | Time 0:31.28 | Steps  1515 | Reward   86029.5 | Avg(10)   88949.5 | Dist    339m ( 10.6%) | Buf   4.1% | Total   20391 | End: off_track
  [ai-swap] loaded models/episodes/ep_000665.21 | new branch=25 | next=ep_000666.25
Ep ep_000666.25 | Time 0:14.45 | Steps   743 | Reward   38397.2 | Avg(10)   38397.2 | Dist     10m (  0.3%) | Buf   0.1% | Total   21134 | End: too_slow
Ep ep_000667.25 | Time 0:35.89 | Steps  1742 | Reward   99639.6 | Avg(10)   69018.4 | Dist    419m ( 13.1%) | Buf   0.5% | Total   22876 | End: off_track
Ep ep_000668.25 | Time 0:36.79 | Steps  1787 | Reward  102373.9 | Avg(10)   80136.9 | Dist    402m ( 12.6%) | Buf   0.9% | Total   24663 | End: off_track
Ep ep_000669.25 | Time 0:06.65 | Steps   359 | Reward   16547.0 | Avg(10)   64239.4 | Dist     10m (  0.3%) | Buf   0.9% | Total   25022 | End: off_track
Ep ep_000670.25 | Time 0:20.61 | Steps  1030 | Reward   56713.7 | Avg(10)   62734.3 | Dist     10m (  0.3%) | Buf   1.1% | Total   26052 | End: off_track
Ep ep_000671.25 | Time 0:50.23 | Steps  2459 | Reward  140915.1 | Avg(10)   75764.4 | Dist    336m ( 10.5%) | Buf   1.6% | Total   28511 | End: off_track
Ep ep_000672.25 | Time 0:40.25 | Steps  1960 | Reward  112703.2 | Avg(10)   81041.4 | Dist    213m (  6.6%) | Buf   2.0% | Total   30471 | End: off_track
Ep ep_000673.25 | Time 0:50.55 | Steps  2475 | Reward  143592.4 | Avg(10)   88860.3 | Dist    341m ( 10.6%) | Buf   2.5% | Total   32946 | End: off_track
Ep ep_000674.25 | Time 0:50.91 | Steps  2493 | Reward  144740.5 | Avg(10)   95069.2 | Dist    340m ( 10.6%) | Buf   3.0% | Total   35439 | End: off_track
Ep ep_000675.25 | Time 0:51.93 | Steps  2544 | Reward  147795.1 | Avg(10)  100341.8 | Dist    352m ( 11.0%) | Buf   3.5% | Total   37983 | End: off_track
Ep ep_000676.25 | Time 0:52.91 | Steps  2593 | Reward  150690.3 | Avg(10)  111571.1 | Dist    354m ( 11.1%) | Buf   4.0% | Total   40576 | End: off_track
Ep ep_000677.25 | Time 0:49.79 | Steps  2437 | Reward  141441.2 | Avg(10)  115751.2 | Dist    364m ( 11.4%) | Buf   4.5% | Total   43013 | End: off_track
Ep ep_000678.25 | Time 0:51.77 | Steps  2536 | Reward  147315.2 | Avg(10)  120245.4 | Dist    384m ( 12.0%) | Buf   5.0% | Total   45549 | End: off_track
