Ep ep_000119.4 | Time 1:19.56 | Steps  3855 | Reward  177891.2 | Avg(10)  162368.4 | Dist   1565m ( 48.9%) | Buf  16.4% | Total  255738 | End: off_track
Ep ep_000120.4 | Time 1:21.41 | Steps  3939 | Reward  177527.9 | Avg(10)  173637.7 | Dist   1562m ( 48.8%) | Buf  17.2% | Total  259677 | End: off_track
Ep ep_000121.4 | Time 1:13.86 | Steps  3596 | Reward  175256.1 | Avg(10)  170819.5 | Dist   1564m ( 48.9%) | Buf  17.9% | Total  263273 | End: off_track
Ep ep_000122.4 | Time 1:14.39 | Steps  3620 | Reward  176641.1 | Avg(10)  168245.7 | Dist   1567m ( 49.0%) | Buf  18.6% | Total  266893 | End: off_track
Ep ep_000123.4 | Time 1:31.29 | Steps  4388 | Reward  213963.7 | Avg(10)  169092.1 | Dist   2074m ( 64.8%) | Buf  19.5% | Total  271281 | End: off_track
Ep ep_000124.4 | Time 1:28.78 | Steps  4274 | Reward  209479.6 | Avg(10)  169170.6 | Dist   2070m ( 64.7%) | Buf  20.3% | Total  275555 | End: off_track
Ep ep_000125.4 | Time 1:31.05 | Steps  4377 | Reward  213692.0 | Avg(10)  182954.7 | Dist   2065m ( 64.5%) | Buf  21.2% | Total  279932 | End: off_track
Ep ep_000126.4 | Time 1:31.40 | Steps  4393 | Reward  214439.7 | Avg(10)  183630.2 | Dist   2071m ( 64.7%) | Buf  22.1% | Total  284325 | End: off_track
Ep ep_000127.4 | Time 1:12.52 | Steps  3535 | Reward  172509.2 | Avg(10)  193669.7 | Dist   1567m ( 49.0%) | Buf  22.8% | Total  287860 | End: off_track
Ep ep_000128.4 | Time 1:30.67 | Steps  4360 | Reward  212741.2 | Avg(10)  194414.2 | Dist   2073m ( 64.8%) | Buf  23.7% | Total  292220 | End: off_track
Ep ep_000129.4 | Time 1:31.60 | Steps  4402 | Reward  215129.1 | Avg(10)  198138.0 | Dist   2070m ( 64.7%) | Buf  24.6% | Total  296622 | End: off_track
Ep ep_000130.4 | Time 1:32.83 | Steps  4458 | Reward  217563.3 | Avg(10)  202141.5 | Dist   2075m ( 64.9%) | Buf  25.4% | Total  301080 | End: off_track
Ep ep_000131.4 | Time 1:35.49 | Steps  4579 | Reward  223927.4 | Avg(10)  207008.6 | Dist   2082m ( 65.1%) | Buf  26.4% | Total  305659 | End: off_track
Ep ep_000132.4 | Time 1:48.76 | Steps  5182 | Reward  242336.1 | Avg(10)  213578.1 | Dist   2183m ( 68.2%) | Buf  27.4% | Total  310841 | End: off_track
Ep ep_000133.4 | Time 0:30.20 | Steps  1466 | Reward   58713.9 | Avg(10)  198053.1 | Dist    155m (  4.8%) | Buf  27.7% | Total  312307 | End: off_track
Ep ep_000134.4 | Time 0:23.25 | Steps  1150 | Reward   53276.5 | Avg(10)  182432.8 | Dist    133m (  4.2%) | Buf  27.9% | Total  313457 | End: off_track
Ep ep_000135.4 | Time 0:22.96 | Steps  1137 | Reward   52515.0 | Avg(10)  166315.1 | Dist    116m (  3.6%) | Buf  28.1% | Total  314594 | End: off_track
Ep ep_000136.4 | Time 0:23.36 | Steps  1155 | Reward   53326.8 | Avg(10)  150203.9 | Dist    111m (  3.5%) | Buf  28.4% | Total  315749 | End: off_track
Ep ep_000137.4 | Time 0:12.35 | Steps   638 | Reward   27580.3 | Avg(10)  135711.0 | Dist     10m (  0.3%) | Buf  28.5% | Total  316387 | End: off_track
Ep ep_000138.4 | Time 0:22.94 | Steps  1136 | Reward   52480.7 | Avg(10)  119684.9 | Dist    115m (  3.6%) | Buf  28.7% | Total  317523 | End: off_track
Ep ep_000139.4 | Time 0:23.01 | Steps  1139 | Reward   52634.0 | Avg(10)  103435.4 | Dist    116m (  3.6%) | Buf  29.0% | Total  318662 | End: off_track
Ep ep_000140.4 | Time 0:22.59 | Steps  1120 | Reward   51790.0 | Avg(10)   86858.1 | Dist    117m (  3.6%) | Buf  29.2% | Total  319782 | End: off_track
Ep ep_000141.4 | Time 0:22.66 | Steps  1123 | Reward   51888.0 | Avg(10)   69654.1 | Dist    112m (  3.5%) | Buf  29.4% | Total  320905 | End: off_track
Ep ep_000142.4 | Time 0:22.46 | Steps  1114 | Reward   51543.1 | Avg(10)   50574.8 | Dist    119m (  3.7%) | Buf  29.6% | Total  322019 | End: off_track
Ep ep_000143.4 | Time 0:39.99 | Steps  1947 | Reward   86377.4 | Avg(10)   53341.2 | Dist    442m ( 13.8%) | Buf  30.0% | Total  323966 | End: off_track
Ep ep_000144.4 | Time 0:36.93 | Steps  1794 | Reward   78785.6 | Avg(10)   55892.1 | Dist    436m ( 13.6%) | Buf  30.4% | Total  325760 | End: off_track
Ep ep_000145.4 | Time 2:14.27 | Steps  6370 | Reward  304178.4 | Avg(10)   81058.4 | Dist   2885m ( 90.2%) | Buf  31.7% | Total  332130 | End: off_track
