Ep ep_000501.19 | Time 0:23.60 | Steps  1166 | Reward   53632.7 | Avg(10)   67118.7 | Dist     78m (  2.4%) | Buf   7.1% | Total   35742 | End: off_track
Ep ep_000502.19 | Time 0:20.17 | Steps  1010 | Reward   45725.8 | Avg(10)   66414.8 | Dist     24m (  0.7%) | Buf   7.4% | Total   36752 | End: off_track
Ep ep_000503.19 | Time 0:19.77 | Steps   992 | Reward   44847.4 | Avg(10)   65311.3 | Dist     23m (  0.7%) | Buf   7.5% | Total   37744 | End: off_track
Ep ep_000504.19 | Time 0:24.39 | Steps  1202 | Reward   55120.3 | Avg(10)   65129.0 | Dist    104m (  3.3%) | Buf   7.8% | Total   38946 | End: off_track
Ep ep_000505.19 | Time 0:22.15 | Steps  1100 | Reward   50319.3 | Avg(10)   64516.8 | Dist     66m (  2.1%) | Buf   8.0% | Total   40046 | End: off_track
Ep ep_000506.19 | Time 0:23.87 | Steps  1178 | Reward   54088.9 | Avg(10)   52082.0 | Dist    107m (  3.3%) | Buf   8.2% | Total   41224 | End: off_track
Ep ep_000507.19 | Time 0:23.38 | Steps  1156 | Reward   52974.1 | Avg(10)   52105.9 | Dist    105m (  3.3%) | Buf   8.5% | Total   42380 | End: off_track
Ep ep_000508.19 | Time 0:22.28 | Steps  1106 | Reward   50585.1 | Avg(10)   51615.2 | Dist    100m (  3.1%) | Buf   8.7% | Total   43486 | End: off_track
Ep ep_000509.19 | Time 0:20.90 | Steps  1043 | Reward   47426.9 | Avg(10)   50803.2 | Dist     85m (  2.7%) | Buf   8.9% | Total   44529 | End: off_track
Ep ep_000510.19 | Time 1:41.58 | Steps  4856 | Reward  236556.4 | Avg(10)   69127.7 | Dist   2075m ( 64.9%) | Buf   9.9% | Total   49385 | End: off_track
Ep ep_000511.19 | Time 1:50.63 | Steps  5267 | Reward  255720.9 | Avg(10)   89336.5 | Dist   2215m ( 69.2%) | Buf  10.9% | Total   54652 | End: off_track
Ep ep_000512.19 | Time 2:37.79 | Steps  7546 | Reward  363888.5 | Avg(10)  121152.8 | Dist   2885m ( 90.1%) | Buf  12.4% | Total   62198 | End: off_track
Ep ep_000513.19 | Time 2:02.07 | Steps  5787 | Reward  284512.7 | Avg(10)  145119.3 | Dist   2215m ( 69.2%) | Buf  13.6% | Total   67985 | End: off_track
Ep ep_000514.19 | Time 1:49.13 | Steps  5199 | Reward  253189.2 | Avg(10)  164926.2 | Dist   2086m ( 65.2%) | Buf  14.6% | Total   73184 | End: too_slow
Ep ep_000515.19 | Time 2:23.69 | Steps  6841 | Reward  333263.5 | Avg(10)  193220.6 | Dist   2866m ( 89.6%) | Buf  16.0% | Total   80025 | End: off_track
Ep ep_000516.19 | Time 2:26.35 | Steps  6974 | Reward  337978.4 | Avg(10)  221609.6 | Dist   2871m ( 89.7%) | Buf  17.4% | Total   86999 | End: off_track
Ep ep_000517.19 | Time 1:57.16 | Steps  5564 | Reward  271174.0 | Avg(10)  243429.6 | Dist   2217m ( 69.3%) | Buf  18.5% | Total   92563 | End: off_track
Ep ep_000518.19 | Time 2:13.39 | Steps  6326 | Reward  289285.0 | Avg(10)  267299.5 | Dist   2207m ( 69.0%) | Buf  19.8% | Total   98889 | End: off_track
Ep ep_000519.19 | Time 2:03.74 | Steps  5863 | Reward  286858.0 | Avg(10)  291242.7 | Dist   2208m ( 69.0%) | Buf  21.0% | Total  104752 | End: off_track
Ep ep_000520.19 | Time 2:06.36 | Steps  5982 | Reward  292098.7 | Avg(10)  296796.9 | Dist   2208m ( 69.0%) | Buf  22.1% | Total  110734 | End: off_track
Ep ep_000521.19 | Time 2:10.05 | Steps  6159 | Reward  292550.1 | Avg(10)  300479.8 | Dist   2121m ( 66.3%) | Buf  23.4% | Total  116893 | End: off_track
Ep ep_000522.19 | Time 1:56.37 | Steps  5528 | Reward  272047.0 | Avg(10)  291295.7 | Dist   2205m ( 68.9%) | Buf  24.5% | Total  122421 | End: off_track
Ep ep_000523.19 | Time 1:54.15 | Steps  5427 | Reward  262786.7 | Avg(10)  289123.1 | Dist   2199m ( 68.7%) | Buf  25.6% | Total  127848 | End: off_track
Ep ep_000524.19 | Time 1:45.81 | Steps  5048 | Reward  247409.0 | Avg(10)  288545.0 | Dist   2074m ( 64.8%) | Buf  26.6% | Total  132896 | End: off_track
Ep ep_000525.19 | Time 1:46.23 | Steps  5067 | Reward  248390.3 | Avg(10)  280057.7 | Dist   2064m ( 64.5%) | Buf  27.6% | Total  137963 | End: off_track
Ep ep_000526.19 | Time 1:44.58 | Steps  4992 | Reward  244543.1 | Avg(10)  270714.2 | Dist   2071m ( 64.7%) | Buf  28.6% | Total  142955 | End: off_track
Ep ep_000527.19 | Time 1:42.79 | Steps  4911 | Reward  240290.5 | Avg(10)  267625.8 | Dist   2074m ( 64.8%) | Buf  29.6% | Total  147866 | End: off_track
Ep ep_000528.19 | Time 1:43.94 | Steps  4963 | Reward  242939.9 | Avg(10)  262991.3 | Dist   2066m ( 64.6%) | Buf  30.6% | Total  152829 | End: off_track
Ep ep_000529.19 | Time 1:53.22 | Steps  5385 | Reward  261319.0 | Avg(10)  260437.4 | Dist   2204m ( 68.9%) | Buf  31.6% | Total  158214 | End: off_track
